-1.881250, -5.293750, -36.583752; -0.272782, -0.796810, 9.511470; -0.000008, -0.000059, -0.000132;
-6.982500, 5.363750, -33.740002; -0.258425, -0.624527, 9.698110; -0.000008, -0.000059, -0.000132;
-6.107500, -12.941250, -32.908749; -1.012164, -0.681954, 9.533005; -0.000005, -0.000059, -0.000132;
-7.472500, 0.726250, -40.328751; -0.610170, -0.430708, 9.310472; -0.000005, -0.000059, -0.000132;
-9.003750, -2.800000, -29.758751; -0.646062, -0.387637, 9.253045; -0.000005, -0.000059, -0.000132;
-7.008750, -3.508750, -23.835001; -0.839881, -0.323031, 9.533005; -0.000002, -0.000059, -0.000133;
-5.442500, -4.445000, -17.272501; -1.141376, -0.495314, 9.360722; -0.000002, -0.000059, -0.000133;
0.218750, 2.038750, -22.373751; -1.062413, -0.236889, 9.518648; -0.000002, -0.000059, -0.000133;
-4.086250, 3.893750, -24.946251; -1.062413, -0.351745, 9.611968; 0.000001, -0.000059, -0.000134;
-6.930000, 2.161250, -40.906250; -1.105484, -0.373280, 9.540184; 0.000001, -0.000059, -0.000134;
-9.703750, 1.785000, -55.221249; -1.622334, 0.078963, 9.360722; 0.000001, -0.000059, -0.000134;
0.026250, 28.043751, -62.002499; -0.818345, -0.129212, 9.217153; 0.000004, -0.000056, -0.000135;
1.015000, 18.541250, -36.487499; -0.725025, -0.157926, 9.339187; 0.000004, -0.000056, -0.000135;
16.450001, 12.075000, -32.987499; -0.710668, -0.150748, 9.454042; 0.000004, -0.000056, -0.000135;
15.102500, -3.123750, -26.582500; -1.119841, -0.172283, 9.640682; 0.000004, -0.000056, -0.000135;
13.641250, 5.127500, -32.305000; -1.098306, -0.387637, 9.353543; 0.000008, -0.000053, -0.000136;
5.582500, 6.580000, -33.416248; -1.040878, -0.459422, 9.511470; 0.000008, -0.000053, -0.000136;
4.943750, -8.242500, -30.887501; -0.997807, -0.610170, 9.267402; 0.000008, -0.000053, -0.000136;
4.576250, 9.266250, -24.001249; -0.947558, -0.674776, 9.324830; 0.000011, -0.000049, -0.000137;
8.023750, 7.577500, -28.796249; -0.940379, -0.847059, 9.418150; 0.000011, -0.000049, -0.000137;
8.041250, 8.435000, -24.876249; -1.651048, -1.019342, 9.116654; 0.000011, -0.000049, -0.000137;
3.281250, 4.838750, -43.154999; -0.409173, -0.559920, 9.748360; 0.000012, -0.000045, -0.000137;
-6.221250, -9.791250, -25.514999; -1.177269, -0.861416, 9.454042; 0.000012, -0.000045, -0.000137;
0.892500, 2.502500, -32.532501; -1.012164, -1.055235, 9.583255; 0.000012, -0.000045, -0.000137;
5.967500, 19.932501, -24.674999; -1.500300, -0.897308, 9.080762; 0.000013, -0.000042, -0.000138;
2.861250, 15.312500, -24.132500; -0.854238, -0.854238, 9.403793; 0.000013, -0.000042, -0.000138;
-8.190000, -3.403750, -20.501249; -1.076770, -0.990629, 9.446863; 0.000013, -0.000042, -0.000138;
-10.561250, 6.300000, -24.858749; -1.141376, -1.048056, 9.281759; 0.000013, -0.000042, -0.000138;
-8.268750, 21.918751, -30.423750; -0.897308, -1.040878, 9.683753; 0.000014, -0.000040, -0.000137;
-8.898750, 40.993752, -25.305000; -0.897308, -1.529014, 8.958728; 0.000014, -0.000040, -0.000137;
8.575000, 9.073750, -40.389999; -0.681954, -0.524028, 9.396614; 0.000014, -0.000040, -0.000137;
10.456250, 13.055000, -33.661251; -0.466600, -0.660419, 9.777073; 0.000015, -0.000037, -0.000136;
-0.420000, 13.930000, -24.395000; -0.646062, -1.134198, 9.454042; 0.000015, -0.000037, -0.000136;
-4.838750, 14.778750, -24.867500; -0.538385, -0.897308, 9.497113; 0.000015, -0.000037, -0.000136;
-18.366251, 14.962500, -17.115000; -0.538385, -1.069592, 9.324830; 0.000016, -0.000033, -0.000134;
-22.400000, 8.610000, -9.415000; -0.803988, -0.818345, 9.166903; 0.000016, -0.000033, -0.000134;
-11.138750, 5.503750, -16.721251; -0.624527, -0.337388, 9.533005; 0.000016, -0.000033, -0.000134;
-12.661250, 10.027500, -10.535000; -0.315853, -0.502493, 9.626326; 0.000017, -0.000034, -0.000135;
-4.882500, 11.016250, -19.285000; -0.129212, -0.301496, 9.798609; 0.000017, -0.000034, -0.000135;
-1.697500, 11.690000, -12.381250; -0.380459, -0.409173, 9.296116; 0.000017, -0.000034, -0.000135;
3.360000, 0.061250, -6.825000; -0.265603, -0.380459, 9.432507; 0.000017, -0.000032, -0.000134;
4.410000, 10.762500, -2.380000; -0.323031, -0.538385, 9.576077; 0.000017, -0.000032, -0.000134;
3.570000, 3.132500, -1.951250; -0.200997, -0.516850, 9.568897; 0.000017, -0.000032, -0.000134;
5.670000, 9.563750, -4.567500; -0.272782, -0.473779, 9.181260; 0.000017, -0.000032, -0.000134;
-3.333750, 4.602500, -7.910000; -0.122034, -1.076770, 9.942178; 0.000016, -0.000031, -0.000134;
-5.635000, -4.357500, -6.168750; -0.466600, -0.739382, 9.123833; 0.000016, -0.000031, -0.000134;
-17.648750, -7.945000, -3.920000; -0.854238, -0.653241, 9.540184; 0.000016, -0.000031, -0.000134;
-29.268749, -7.201250, -10.176250; -0.882951, -0.401994, 9.705288; 0.000016, -0.000031, -0.000135;
-22.671249, -4.733750, -1.023750; -1.062413, -0.236889, 9.367901; 0.000016, -0.000031, -0.000135;
-39.182499, 0.875000, 7.446250; -0.940379, -0.028714, 9.231510; 0.000016, -0.000031, -0.000135;
